forecast_date,target,target_end_date,location,type,quantile,value
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.01,2.9
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.025,3.2
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.05,3.4
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.1,3.7
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.15,3.9
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.2,4.1
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.25,4.2
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.3,4.3
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.35,4.4
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.4,4.6
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.45,4.7
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,point,NA,4.8
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.5,5
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.55,5.2
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.6,5.3
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.65,5.6
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.7,5.8
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.75,6.2
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.8,6.4
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.85,7
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.9,7.6
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.95,7.9
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.975,8.1
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.99,9.9
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.01,2.4
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.025,2.7
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.05,3.1
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.1,3.5
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.15,3.7
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.2,4
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.25,4.1
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.3,4.3
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.35,4.5
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.4,4.7
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.45,4.9
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,point,NA,5
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.5,5.2
